				PC	EBP	ESP	stack
initial values			0	1	0
0	INC	0	6	1	1	6	0 0 0 0 0 0 
1	JMP	0	31	31	1	6	0 0 0 0 0 0 
31	SIO	0	2	32	1	7	0 0 0 0 0 0 5 
32	STO	0	4	33	1	6	0 0 0 0 5 0 
33	CAL	0	2	2	7	6	0 0 0 0 5 0 
2	INC	0	5	3	7	11	0 0 0 0 5 0 | 0 1 1 34 0 
3	JMP	0	4	4	7	11	0 0 0 0 5 0 | 0 1 1 34 0 
4	LOD	1	4	5	7	12	0 0 0 0 5 0 | 0 1 1 34 0 5 
5	STO	0	4	6	7	11	0 0 0 0 5 0 | 0 1 1 34 5 
6	LOD	1	4	7	7	12	0 0 0 0 5 0 | 0 1 1 34 5 5 
7	LIT	0	1	8	7	13	0 0 0 0 5 0 | 0 1 1 34 5 5 1 
8	OPR	0	3	9	7	12	0 0 0 0 5 0 | 0 1 1 34 5 4 
9	STO	1	4	10	7	11	0 0 0 0 4 0 | 0 1 1 34 5 
10	LOD	1	4	11	7	12	0 0 0 0 4 0 | 0 1 1 34 5 4 
11	LIT	0	0	12	7	13	0 0 0 0 4 0 | 0 1 1 34 5 4 0 
12	OPR	0	10	13	7	12	0 0 0 0 4 0 | 0 1 1 34 5 0 
13	JPC	0	18	18	7	11	0 0 0 0 4 0 | 0 1 1 34 5 
18	LOD	1	4	19	7	12	0 0 0 0 4 0 | 0 1 1 34 5 4 
19	LIT	0	0	20	7	13	0 0 0 0 4 0 | 0 1 1 34 5 4 0 
20	OPR	0	8	21	7	12	0 0 0 0 4 0 | 0 1 1 34 5 0 
21	JPC	0	25	25	7	11	0 0 0 0 4 0 | 0 1 1 34 5 
25	CAL	1	2	2	12	11	0 0 0 0 4 0 | 0 1 1 34 5 
2	INC	0	5	3	12	16	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 0 
3	JMP	0	4	4	12	16	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 0 
4	LOD	1	4	5	12	17	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 0 4 
5	STO	0	4	6	12	16	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 4 
6	LOD	1	4	7	12	17	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 4 4 
7	LIT	0	1	8	12	18	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 4 4 1 
8	OPR	0	3	9	12	17	0 0 0 0 4 0 | 0 1 1 34 5 | 0 1 7 26 4 3 
9	STO	1	4	10	12	16	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 
10	LOD	1	4	11	12	17	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 3 
11	LIT	0	0	12	12	18	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 3 0 
12	OPR	0	10	13	12	17	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 0 
13	JPC	0	18	18	12	16	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 
18	LOD	1	4	19	12	17	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 3 
19	LIT	0	0	20	12	18	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 3 0 
20	OPR	0	8	21	12	17	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 0 
21	JPC	0	25	25	12	16	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 
25	CAL	1	2	2	17	16	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 
2	INC	0	5	3	17	21	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 0 
3	JMP	0	4	4	17	21	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 0 
4	LOD	1	4	5	17	22	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 0 3 
5	STO	0	4	6	17	21	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 
6	LOD	1	4	7	17	22	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 3 
7	LIT	0	1	8	17	23	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 3 1 
8	OPR	0	3	9	17	22	0 0 0 0 3 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 
9	STO	1	4	10	17	21	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 
10	LOD	1	4	11	17	22	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 
11	LIT	0	0	12	17	23	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 0 
12	OPR	0	10	13	17	22	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 0 
13	JPC	0	18	18	17	21	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 
18	LOD	1	4	19	17	22	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 
19	LIT	0	0	20	17	23	0 0 0 0 2 0 | 0 1 1 34 5 | 0 1 7 26 4 | 0 1 12 26 3 2 0 
